,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
GENE0000,3.4539519027980967,6.038926519794885,7.08052947668074,6.026893371869668,6.5268147344120715,6.849367885389025,7.643365129722218,6.182208144768387,5.760398994532494,5.372139108115858,7.7628184428295235,5.349581573507813,10.511278743418803,7.402681348200634,6.813245184498593,8.134995462682582,7.928641272884102,6.5641929566503965,8.650530617764804,7.044512621059553,10.196245199416886,6.591594927129092,8.522114068790714,8.46275206469022
GENE0001,7.059526054594294,4.421003325072343,6.574485802133135,4.823160858679141,6.275679550274497,3.8696277123393923,6.576382851472038,7.438208069261441,5.687741954578401,6.101765153699755,6.67975546858292,6.373883256773993,6.677847656005867,6.414259003556635,7.460686821286956,8.574648729612392,8.121960408377046,9.03640022248048,9.032230557883143,7.920752314805121,6.160362537405576,9.278095153311122,9.381828853625198,8.69819924619295
GENE0002,5.486220672005912,5.807602270375925,5.471279778693278,6.318442758484135,3.680940313574586,6.105539301770978,5.807216878354526,6.990089675725424,4.438386744092921,4.735788120979209,6.388407847146242,7.432446848233842,8.197862372371805,8.03468973382638,6.986072828309453,7.8479280911869935,7.404526857189914,6.434720008917576,8.415398067705791,7.098515156883839,8.779959903670871,7.861627116880548,9.117513913022355,7.017108677911656
GENE0003,6.875876439656067,6.009092857378194,4.373294091592045,5.2083581615077446,5.240976489384121,6.432284586925321,4.950105562576484,4.64335958818935,5.555284735054074,7.015249455556432,6.136828973646717,5.682622214172349,8.340389616674887,6.563052724684344,10.295131323105855,10.091126737578687,7.44342739811682,7.9692355214990895,8.286016828092269,7.039357318201098,8.639625717301843,6.168585278041249,6.695788753959503,9.436695894550704
GENE0004,7.6934699206058825,7.477392166159968,5.224031262408868,5.115220728245523,5.517009769716337,7.550671828445334,6.420878201890208,9.107534180201542,6.670126102672111,7.828417545501017,5.872810853763559,5.071403718856931,10.196698743254204,7.030583948800759,8.494130260072012,8.35876101166479,8.090538053671683,8.654009393223314,7.888556651987132,7.715028703621989,5.799697357371847,9.070740179179314,7.251921754236952,7.467703001748509
GENE0005,5.067416177069405,5.097086874123659,5.809894689582553,4.6046600497873795,5.626942621396236,6.603864588650071,6.641505357468688,5.420803257117792,5.166293762645173,7.2785016488203675,6.418091561655125,6.537819533689485,9.355501415060456,9.366229238436109,8.84597715974241,5.743108063283822,7.475691325436161,6.866572611508998,9.508597608834387,7.879069019738596,7.523538683308756,8.682256334627182,8.994518448609956,8.84703332821406
GENE0006,5.995090727924822,7.2934241565206746,5.6085242754670075,4.322067545569427,5.542870391554839,5.499957167422935,6.68275606846349,7.00418270085339,5.146312082300934,3.621198423599042,8.149860160471686,6.203583714013936,5.937904373306112,5.437045791125941,8.0511891051256,7.415330307083687,9.7841562311309,7.334661443232387,8.401202928912937,8.005320893885239,8.82001659211324,8.413842356158634,9.301844158717866,8.583273638483618
GENE0007,6.089430411991458,6.816485011894218,7.439460734765055,4.532718214542272,5.268511105132745,6.223356781438074,5.997204220330636,5.323327007649393,3.846282285451529,5.686669438282462,6.411683724047008,7.583854717317759,8.462526415755072,7.507465066701474,7.715605079310992,7.899291729485346,7.6334134713616635,8.309905707277446,9.02921132045746,8.912732268937273,8.386324627623907,8.494113252491172,6.906619766717162,8.302239693912798
GENE0008,6.8133552514109414,6.126376571834114,5.95117006296148,5.804305534288191,7.810632737201004,4.208971680159659,7.382008853438418,6.44354607547141,5.462283140381055,6.592835345957896,6.45366877151406,4.912385804753359,9.763949586369808,8.21344536787835,7.485602244591503,10.077384570897152,8.925476512795495,8.749229026497625,8.612408759618807,7.906146396688852,8.856377194778005,9.252880990553294,7.976743203209137,8.040732402839952
GENE0009,5.497739958711885,7.539679044246459,4.378271631321476,6.392114142521185,7.509135960095421,4.666524823985162,6.073684750635422,7.335408913790168,5.608757704167729,6.163768339265886,5.761540648360969,4.959724707764096,7.566955820837341,7.404232167614666,6.530237801671953,9.658460855952661,8.327210358712705,7.216761576393823,7.174398732538744,7.176065315217791,7.341536712291391,7.419449560605004,7.353169903635158,7.983201027977211
GENE0010,3.9524052510248446,6.2221703901162435,5.02792866112927,7.001768153217725,5.811305564314653,6.389924824905899,5.315272933917241,7.429795019078611,4.632302563532115,5.26798381201038,4.919039142906154,5.925539049148794,7.876215421521796,6.6400920601246245,7.007658742330355,6.910502275350683,6.878922791630696,7.939115651495376,10.194274333646236,8.303810245777031,7.584878952936457,7.763914828015162,6.865282999954728,6.434503398578011
GENE0011,5.0585658196270495,4.602550676922039,6.942422812545993,8.080022757229855,6.949035816845845,5.128579731905719,6.009679079449021,6.56429979412438,6.437879874163194,7.640673884004249,4.682211231053335,6.164973316736564,7.9650211905221635,7.925213031727334,6.118535314811496,7.110210594147705,8.91640225041821,8.625140620572127,7.282384321249841,6.763724658292849,8.926759922974304,7.797343013861886,6.289338469347845,10.490753676678665
GENE0012,7.36417869693446,4.812392942460042,7.442857596014557,6.251928323386527,6.796531077332194,5.072935264913529,6.681252911866843,8.443632888954962,7.298238606403921,6.813026177801251,3.9613726360806094,6.939233683805491,8.786011127561041,7.633353395756707,7.924690102262269,9.041026141611908,9.140209719851144,7.000097205606949,7.810871695212812,10.171403937668515,9.15166769788989,7.29942822536451,7.72754101565655,8.335161011718043
GENE0013,3.727063495413174,6.335958859395176,6.016852276001702,4.273718135824941,8.104605453722124,6.341440445165166,5.773227353322639,5.053295357370976,6.121954434831591,6.460468481280435,7.4615406702978655,5.872166986937194,6.32293344834554,7.955369829413956,7.895767258102653,11.156844511794326,8.235500073070943,8.554899811200322,7.763909094131881,8.548423974005091,7.966502965534566,8.504377866418942,8.889205543851187,7.987435176985532
GENE0014,7.2132868114527895,7.5303969711189405,7.249826348806212,6.0675962139754365,4.973871236331263,4.9048354984053955,6.597888762868438,6.294875787533093,5.935925783900387,5.416326251049556,6.014099129628293,4.483783928670806,7.797333492902387,8.428499542369387,9.131387616979909,8.988962853641528,5.755030225926053,6.620759302615425,9.559742878760176,8.549521905107033,8.680863879212698,7.3735001148580634,6.698965820657535,7.770532308097232
GENE0015,3.0546753190839206,4.768055452690011,4.825949821529536,4.980528119003542,4.929754178054401,4.9891363232973225,5.739975898682521,6.605434164454253,2.8375220799399976,4.965600199990486,5.006233280056786,4.313700378554913,8.876370189696239,7.353081462997493,8.622175916844526,8.083384506700465,9.940977759633899,7.336003201177501,7.119726286321198,7.67171849439299,9.800550344831668,8.61471659136714,6.798255515103254,8.827180507869976
GENE0016,5.362586202221536,7.627246653218265,6.851763658779513,5.954557263197648,6.204819165739366,5.29638132294154,5.99805234532435,6.6317301036814715,6.97300933794765,5.5260860526333255,3.632594285893289,6.761844382548728,7.318732583425102,8.924759980801975,5.721648153364461,8.307044067029526,8.187292107812155,7.318831056477287,9.316452948088955,7.21097722473427,9.656868930679078,10.908622603436779,7.230177162906951,7.079032420081216
GENE0017,5.82098573271833,5.750737520513327,7.214881194348077,7.21222704111926,5.459551606841952,5.136390906051945,5.635570137904587,6.239125944075174,4.737390998319006,4.61482967275888,5.171429721036718,5.497224808720566,7.175971810525897,5.6736997062061105,8.041088663354374,6.2203012777650475,8.441008546872553,7.653127109407527,8.841841643421713,8.058849261789547,10.20783857116567,8.587458684550128,7.735756392869833,8.126302785586534
GENE0018,6.0547887603857875,5.343256516539162,5.7167021522118935,5.437329424997633,5.602631865953979,5.492532659965888,5.588555985770122,5.9460870778443695,6.605565556128011,7.004492199802942,5.30463288299882,4.4397995908736485,8.530132963205205,9.957667820082044,8.623423238429535,7.44616860658439,8.053457073738006,7.842794680051199,7.942767545115692,6.819655104855901,9.192563038484428,6.954788829005443,8.870969215866149,8.60613217135339
GENE0019,7.552000499879939,6.785106136727475,3.437672128463019,4.443922444994976,6.064411113076097,7.837180986436033,5.556763878448455,4.480269601005112,6.86768431713175,7.790278790374111,5.118245627068108,5.409052721848449,9.232820925693916,6.335519609915842,7.413802865037777,7.175495273197146,8.283645517888107,7.17690964881121,7.0130412891248035,8.95571412751122,9.152740283446688,9.435848364931672,8.382997733789725,8.880110574703991
GENE0020,4.73592480838779,6.787205451749451,6.840915733228665,5.124602975534391,6.659142915214402,6.263070638909871,6.503193130956186,7.038773997845437,6.18928794576535,7.271784105457149,4.770682815763491,5.047153525543475,8.267169493307124,7.4186708490507804,8.735843348994184,7.7312078089519485,7.559755113184234,8.077968448107002,8.424004544889259,8.16766742872489,8.691719483143522,8.134925594901798,6.237042849680238,9.334960941248735
GENE0021,5.139859720749797,6.306975322689089,5.9960026298211915,8.431388236336092,3.0491573249877657,5.2746647496055665,6.4105651952121185,4.233607735374332,5.949202948486086,4.152939257635496,5.986582204592079,6.037841447195751,7.954256496852144,8.600852715907617,7.599279750996087,8.582707508557283,8.050271556030138,6.8320370137207185,9.860917166588708,9.677955493477628,6.4998967032461525,9.532151702901828,6.878727412310885,6.413362382344288
GENE0022,5.362421552060401,5.577875909310605,8.331522730844668,5.392276840014106,6.0340722366669794,6.324716811801353,5.58763971120501,6.286227590972627,5.197842797639193,4.774566677426615,5.339962810300667,4.5718407512390185,8.384265202508391,8.1920553926318,7.043511245017662,8.964832626466302,7.169465719320808,4.39530401630639,8.074232429954476,9.13004718012243,8.850416441791761,6.448293643268706,6.804845613809489,8.607415049929807
GENE0023,4.316826938623651,5.615185451044223,6.298403678123541,7.496574748972814,5.446347930368642,4.405127461937255,5.091251101849325,8.584590064308085,6.295738112073587,7.2936242453781785,5.939075798437112,5.077208787883065,6.60526777967183,7.70085622670714,8.926938249972974,6.232106928545185,8.449586406481782,7.4997001233255425,8.068261386565936,8.357650174619,8.702076175218972,7.257534699239665,8.780354405016041,7.458056779128148
GENE0024,6.3746728767927,5.9225047447307055,6.162551140154125,6.146962073198074,5.83606804150572,7.228738926602474,6.599792993358364,6.13633593558516,5.349501315327625,8.608039347683276,7.641502940684889,4.852314713193635,9.805253932185465,9.119175939962728,9.163816410164145,7.938520338830995,7.378654504697268,9.152857648410006,6.620379687121234,8.141683963381679,7.299142106339257,8.891667041140618,9.943486582231241,7.848103577053122
GENE0025,5.535635332349733,7.379528814323497,5.369903130843389,2.854936346464065,7.998560214899924,7.065116050178271,6.842928018533356,6.370064052375241,5.870420147240881,3.903749340352351,5.719151491693478,5.693771959676677,7.41831492965693,8.50167904544776,9.782069192178376,7.575572600772963,7.985445024224008,10.131455827736762,6.983175177608547,8.387810768716001,8.088643110138635,7.2900225845658255,7.952926068175863,8.170204625453186
GENE0026,6.808051268944885,5.63585445463853,5.666419754172956,6.475586291596463,5.419710615658659,4.955776499768622,8.874154130029178,5.89686627950022,6.205646783071926,5.661656946195294,4.3031926867765975,5.38840054120472,6.43698670258045,9.029564068695356,8.873855535623022,8.761956870307168,6.560427898744204,6.0703559498484685,5.735566847630394,8.420161637242877,7.93134648061373,6.384844454241422,8.918338697186163,9.03768222328888
GENE0027,5.890083719914256,5.313966286263904,5.709109471324579,7.242279137362616,7.117539238326249,5.704802686928776,6.104188598323003,10.957420394175719,8.280409427631016,6.005712895742529,7.529214939987698,6.379049628955256,10.007458798240235,6.748156948244273,7.768831112863189,8.667360502781046,8.067416631425361,8.398020507029178,8.45921015279692,7.165457981562595,7.947695546768131,6.646067089590709,9.047150979456408,8.378685907881692
GENE0028,6.674727489477499,7.259917257192604,4.735978390009436,7.744591488625492,6.971996139590785,4.454249309196355,6.821484283062157,6.590624781299705,6.419042094748972,4.943803024517396,5.954664851511485,6.698888113055643,7.755640199461649,6.640557890606653,7.83017699292003,7.768291270908803,7.534557769497475,9.9094330155526,8.848386349735067,9.156461243552382,7.992637368472624,7.789712886003381,10.76497495224374,7.689626273974502
GENE0029,6.065811121917564,5.896014729866167,4.468581575023045,6.477421433869245,7.063336631965957,5.360820866191924,5.666487625137574,5.089022532912542,7.966236789023847,6.468481383661486,7.441366592232482,5.539545488098475,8.849235044947674,6.277945431801017,7.137561886574071,10.118679200182054,8.851651545241673,7.295365993320514,5.805710570232643,8.054961508097108,7.823893677734857,8.906259905096565,6.357675224756306,8.94798261768161
GENE0030,5.500934223631076,4.8593117012759475,6.202984081178499,7.998802993304227,6.794423224516458,6.340246381307392,5.408480116542136,7.55875446270633,6.3823268704444915,3.8279592434851932,6.8374420882734945,6.263167535578307,8.048701334671243,9.983073290935607,7.844613928772479,7.04523932427159,7.944179871317305,8.869171507925381,8.166659257005339,6.550212032599956,7.943548550790082,7.9197591593473735,9.67287692741366,5.617412770515137
GENE0031,6.9570268240988655,3.7342356945064346,5.893552164537889,4.789097528311201,4.272131639369622,7.432018138768771,6.778109642150293,6.044607753198001,6.119701068958411,5.135243324202047,5.469074259551139,5.217428037468565,7.317978384354429,7.99006813778808,9.427818550430242,8.916799721127452,8.17683653370296,7.466993981091847,8.76153973650187,4.624893823296814,7.562952637957152,6.115313235630792,7.439493937518506,7.728438187988026
GENE0032,5.497682103376322,5.954811658986906,6.1397003906632035,7.447863790957966,5.083776864912588,5.057780096240018,5.855574976187434,6.308174841407194,6.016017776691032,7.983717257483957,6.9057528659672816,7.485138597711623,8.370457647576469,8.446444672631163,6.096162873620813,7.300418660643445,7.478701491397013,7.812701382091616,9.091690359830745,5.839502348486395,9.755383752152138,8.812771694648584,8.608217754214216,9.175537970058922
GENE0033,3.979078943186915,6.368539977110139,4.312043423728455,6.333257678472407,4.618687537934056,5.060453297139061,5.4366885789794495,5.622330419597221,6.142560011798992,6.710482187123264,8.571045539892095,5.183916872120158,8.050509859973241,7.412184374297516,6.885690437489243,5.3187283788057425,7.398131169064593,7.873297975920536,7.761153316065381,6.371511220922235,8.102286821329487,8.32071521296084,7.264454289836122,9.371615538743901
GENE0034,4.032473694642233,6.220455700891365,5.662599791188663,6.009491187651388,6.372471669933751,6.238596323781077,3.7625946090080222,5.634348733902382,6.4291992356741,6.466196152996218,5.038954001125925,4.726766450879446,9.186087254819387,9.168950219678113,7.3551811490602566,5.555411510622273,7.75999985202913,7.201112810739383,8.460192222092017,8.872222312726505,6.144357870131041,8.562848624986511,7.386697753586573,8.932652339588532
GENE0035,6.773493664430205,4.8707752774268585,7.069340512264691,6.777254385371907,5.675247424206109,6.678389885425112,4.353326155116356,7.954268123126363,5.916665745944214,7.239736231538753,5.195239031783164,4.113083693917341,8.252120223859748,6.7322613128278155,6.971612433679772,7.932583818889073,9.147390415163361,8.47248498643568,8.758825948316709,8.100689333653085,8.322479263202226,7.731715510636106,7.063052286658939,9.337205579930473
GENE0036,5.878225052791985,4.971595115883778,6.478878067717409,6.311670220753529,6.577426251365315,4.6342862250218575,3.4306334302143062,5.462729234552293,5.53233647948904,6.362549010178346,2.865547850458491,6.534079314109329,7.727946616638349,8.71228150123229,9.577215531257535,6.0935955174957455,7.356210337268616,7.584702390222337,8.161919733760575,7.38606348192982,8.287788296897563,8.112222768161784,7.93454820150072,7.9228783759367785
GENE0037,6.302040772610931,5.602250032727535,6.468036982186071,6.336651652242222,5.02371816159969,7.920400911652462,7.571374764568273,6.662241218268601,7.151295374737595,6.248830144921006,5.530606857114608,7.14886047679098,7.664849470879337,9.10717881753079,8.959041816805785,6.925672544456762,8.221758864265839,6.944750357282409,7.620419698645066,7.874362874002397,9.539922392892223,8.982049211546187,7.90120191981389,6.629541409139742
GENE0038,5.360842544804412,5.42594754714851,6.281329129402963,5.4734798752008755,5.595188798340296,3.2648281885726305,6.966431176956066,4.6435729893418545,5.175699873195958,6.516740685489732,6.9026752337514745,5.9579934793961815,8.74686276946333,9.11265834208174,5.254457826118363,9.126402463382963,5.762911660327125,8.001786784994197,8.149387559458567,5.773968660035715,7.531193919750472,4.270516621943949,6.696343827954635,7.178138535584093
GENE0039,4.833953019799949,5.756542587895263,7.816450674330536,6.859970925334292,6.902943537507952,6.42921455252215,4.354797936506189,7.227516654751696,6.338792583735986,6.499267341392908,6.813361813875763,6.485494045468895,8.192391908966256,6.367943370992103,6.65045002655631,7.044334954825697,5.315268165915935,7.1792251567107135,8.580293374566732,9.141950481101091,6.790646692461464,8.240462159098016,7.616337042053178,9.31110004969593
GENE0040,4.424353490632583,5.348185553035078,5.050500552061427,6.6324345696638325,4.055027405094959,6.346938450306332,6.953715726129231,4.3431770658150475,5.2490838145388645,5.0132700281305915,7.717136648310756,7.471575006117932,8.62258231278846,8.467340797836423,9.086174052021242,8.417438733477486,10.313658462342204,7.992473083339448,5.102228423420092,7.909287282747649,8.29832603144687,7.844675322051164,9.058129180832148,7.039698944763473
GENE0041,6.990385364750407,4.390019985922471,6.369288144784941,5.108872850316747,4.529096352477818,5.9360355507150535,4.663132764930675,6.847596585414186,5.603539751216658,6.102696550564858,5.940564069125078,6.6202946617923235,7.32893923108698,9.570525594831098,10.353079339755343,6.656892408710829,10.00643340431437,7.1307993442463,7.972256842706656,10.171719240589034,6.911914789277946,8.969308169228345,8.219957285553088,7.990728227141766
GENE0042,5.877832739440966,5.410648397697726,6.795483205732333,5.573027226487461,7.223920438740876,7.2587483506202615,4.399230781771599,4.544834787498582,5.795304988041952,4.96525686550913,5.242015488439821,5.101254387968082,10.488283938788753,9.521801690633858,6.889653191316837,5.772444471305855,7.356842745293558,6.573894058700651,8.559643939549806,8.626587879630629,7.826747956549376,7.502074066371432,7.647820491495795,8.170328305031871
GENE0043,7.79445719810931,5.244103757959693,6.108764613568866,5.137626540289763,5.119666116059144,6.911130032230913,4.636890833904023,5.798131873573283,5.033055544425322,7.510674567357115,5.2376078965535005,4.601054717629709,7.700652683822244,7.835054545912733,9.242600762002446,7.029074666279623,7.865059169130192,6.751968406782348,9.666901395590198,8.416183636705078,8.646546108589277,8.870884124467633,8.177796422891944,8.082306814436048
GENE0044,4.736090423745383,5.260834051442224,6.9275829689030815,6.8860353247461665,6.976801950726926,5.526510375260779,7.845202268065361,5.811277105254009,6.504808228441576,9.055039850860465,5.434851979989827,6.790456873975237,6.716594718279144,7.336579968588968,8.585400522152085,7.604254468401013,7.7899946311029895,8.641008802454353,8.782589331605678,5.4453675344133625,11.023600029970957,6.568639084485937,6.5854458615509195,6.9789410188056795
GENE0045,4.867966587499405,5.92185742470731,7.0823995700496996,5.291394595104575,6.11032421814787,6.312911431431507,4.717946142133298,3.910834742911269,4.893472013967906,7.414990881018489,5.0604883122951,5.129518730242949,8.421220968353092,8.808386638099524,6.524401824189848,8.449585322491133,8.55156478733969,8.227878865166733,5.795376308185372,9.312226416552301,9.238781172022025,8.1532786561824,6.515323829901593,10.383613145474385
GENE0046,4.791912024529186,5.302615268758979,6.97527226435643,6.013136914718699,6.125745096653759,4.587933910298842,4.503600787373081,6.338719698633525,5.4693856114540385,8.012286247742173,4.635565104799992,5.4845178004546735,8.016135208696944,7.329733140971344,6.206070932567837,7.9369783006287475,9.965023110656475,7.35919144749127,7.249312269120245,8.83413508907416,7.758691885354761,6.746378398500295,8.980427229959602,8.578649607373528
GENE0047,5.203747099761771,4.124198881682974,6.968264933081624,5.206826711219119,6.2514186523552375,5.814603865537151,6.5214518831260495,6.224832987540317,7.413575531715262,6.696594999845431,3.8092133292557535,5.585460151802016,7.903504932786709,7.817594682963925,9.00553671022832,8.447918549655274,5.927808413842321,7.576386994186443,8.76548644841822,7.608127152328814,8.376518416119046,8.326038971352837,8.618361159668956,9.474975906067206
GENE0048,7.469008707425742,6.908090466906302,6.885486331048436,5.978863800271149,5.361574298887031,8.250129096383963,6.455267022522617,4.938751264244416,5.914368923266164,5.615518502648769,6.9103690801317965,5.655430854381624,6.268683038679558,8.210672613728836,7.611021542267915,5.434287295644066,9.905739386881326,6.327149143267731,6.609650268684249,8.008347500782698,7.858219692778493,7.650527933902881,8.399319773905582,9.424449514539702
GENE0049,4.987423263767176,6.079577731825469,6.143392628970286,7.315859801882798,6.231942347437981,3.969826295530955,8.535403376530134,6.115778312124341,6.273104368757844,5.873559712283406,6.290563771602104,6.458111434479109,9.966812504628288,7.803079001201531,4.923330508195103,7.412152811318015,7.547329564641878,7.601735818140897,7.114480042770625,7.783502438997525,8.982836498998479,8.30031437081595,6.971652281651801,6.595949330136202
GENE0050,4.037995713412687,6.246972836660052,4.319127609151033,5.880868125098352,6.692491675803848,6.409738933989337,5.592053635259808,7.682894437912774,5.299311302778377,6.117929791856008,5.547232708693341,5.751652096044779,6.872131673777228,6.68010440757221,3.9714165594268676,4.836652900416482,6.877632407825495,4.5268158367629665,4.8503224324047025,6.345507510385402,7.035779019730754,6.89758107180802,4.194228361743843,5.667333027621946
GENE0051,5.547663131116835,5.305441546624371,4.233498343398706,7.470545426368545,5.840358709026511,4.892026628052902,6.360722553130927,5.779271952997973,6.88845713485277,5.425557466629067,5.487660665249317,5.996466812937212,6.727177000725102,4.892093359375897,4.431536522843193,6.5342899392546085,6.283077972742956,6.030411487394122,6.066202299080941,6.008901544840834,7.460419826555839,6.206570060832267,5.762483045070968,4.836721888221746
GENE0052,5.5546291644072525,6.588339913412064,6.794027937754944,4.3700033909964455,6.953764288527875,5.845934117751049,8.567127178463485,7.3174056823055755,5.775218159987994,4.689183165280069,4.837136750938311,5.381151486070606,7.943039194216348,5.624643241689041,6.201435078831033,5.803901986156048,5.74513559506036,5.499053780957867,7.567127225687157,6.909386276645304,4.388241238363543,4.138504406964957,6.852582909616082,7.1445176090900695
GENE0053,4.943653429044944,5.487447438539607,7.172291232685677,6.666129894813907,5.968550584606187,6.596253888483644,5.695552861386454,5.525475480695443,7.145529204136002,5.242919954263723,5.4582089428249985,7.842657200051804,5.02979541613889,7.808034615653367,6.170151082609523,5.981370038945437,6.549434388328639,6.8988392696007335,7.475357365713994,5.729337214268709,6.465949565112142,5.484814544209363,5.374315587314614,6.10963908234855
GENE0054,6.784730577355613,4.962096235669409,4.218475466828791,4.850880333393225,5.447515773957706,7.390008713294094,5.047326204842588,6.520878863850484,7.22214987413935,5.127125156708129,7.470428482025596,6.6085051933841905,4.909274042766344,5.541009835749716,5.102253440669369,5.689125767142773,6.409231811285527,5.25442465436448,6.376648882081872,6.165610933830136,4.801747267116233,6.381849013493174,7.153387061200895,5.7084204232622975
GENE0055,6.781555389940376,4.846427227987081,7.666356563309853,6.639867814292551,6.7488884181383115,5.247060865523074,6.751853904258864,6.430386077591415,6.792723754473248,7.40680223183285,5.441317811607058,7.406547221253897,6.817070752330004,4.689622535614931,7.799184357611801,5.403553409978235,6.213314390728031,6.260942571015544,4.9405691839530705,6.945461361612028,5.512461146280691,4.59219262148927,5.093709324600281,4.000629491812999
GENE0056,4.52904741481167,7.084380013569991,4.310587337532781,6.373346601427643,5.354913261063888,7.184523575720037,5.972707374482305,4.6711731073324305,6.638931400361295,5.574261026889149,6.732081897298933,6.3519334360902855,4.833054654963891,5.85166555603386,5.366455713625666,5.709605205457333,5.841893890047393,4.240297045543935,6.321295521912169,5.629123064265915,4.588998003596051,4.713156630115804,4.080474818215947,8.13688289737724
GENE0057,5.95505905319214,6.399421368401015,7.574835396138546,8.994881353321592,5.20986634522887,5.417553929951398,4.884257497918302,5.824766943986148,4.002435854683101,7.430085482763185,6.542682626989163,5.765070114628563,4.385138290740185,7.576398614760504,5.50793140178524,7.904761846954602,5.664961141951688,6.076741164305068,4.622970103283316,7.324498963779986,4.1563206543306,6.851320651091643,7.516179584260853,4.1679311925935165
GENE0058,7.022954108878633,7.581741604691843,6.474841940512786,6.645900555225063,6.422159457862083,6.073739312999304,4.872851494698727,5.940157973741999,5.666667417184403,8.065486838499254,5.926334547058771,5.965136019496204,6.207973839612575,6.496183749942441,5.147650656444524,7.046100880546174,5.911347431371128,6.8080474586899395,5.007188426113559,5.850363490919653,7.635785717015226,8.18928357809034,6.7374480574930145,4.770600226771599
